UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
BOM JESUS DA LAPA;SIM;0023;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;10
BOM JESUS DA LAPA;SIM;0027;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;10
BOM JESUS DA LAPA;SIM;0033;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;10
ESPLANADA;SIM;0077;;;;;1;12;10;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;
ESPLANADA;SIM;0078;;;;;2;12;10;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;
ESPLANADA;SIM;0079;;;;;1;12;10;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;
ESPLANADA;SIM;0080;;;;;1;12;10;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;
ESPLANADA;SIM;0083;;;;;1;12;10;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;
EUNAPOLIS;SIM;0085;;;;;1;1;1;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;15
EUNAPOLIS;SIM;0087;;;;;1;1;1;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;15
EUNAPOLIS;SIM;0088;;;;;1;1;1;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;15
GUANAMBI;SIM;0142;;;;;1;13;12;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;BAIXA MIX;1
JEQUIE;SIM;0270;;;;;1;2;2;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JEQUIE;SIM;0273;;;;;1;2;2;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JEQUIE;SIM;0275;;;;;1;2;2;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
JEQUIE;SIM;0281;;;;;1;2;2;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0324;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0333;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0341;;;;;2;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0345;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
PAULO AFONSO;SIM;0403;;;;;1;4;3;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
POSTO DA MATA;SIM;0378;;;;;2;2;1;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
POSTO DA MATA;SIM;0386;;;;;1;2;1;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
POSTO DA MATA;SIM;0388;;;;;1;2;1;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
POSTO DA MATA;SIM;0385;;;;;1;2;1;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTA MARIA DA VITORIA;SIM;0412;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTA MARIA DA VITORIA;SIM;0414;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTA MARIA DA VITORIA;SIM;0417;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0419;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0420;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0421;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0422;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0424;;;;;1;21;19;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SEABRA;SIM;0444;;;;;1;2;2;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SEABRA;SIM;0442;;;;;1;2;2;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
